1; Draft.Scratch_smt_check_7_19920; 2026-04-10 13:45:02.521;
and: 132000,
bind: 352000,362000,
cong: 107000,241000,
refl: 103000,
symm: 129000,
trans: 178000,353000,371000,
equiv1: 187000,
equiv2: 155000,
or_pos: 413000,
implies: 279000,
not_not: 160000,
parsing: 14330000,
subproof: 2495000,
equiv_pos2: 252000,224000,228000,
reordering: 441000,
resolution: 381000,391000,334000,243000,221000,293000,428000,587000,588000,3379000,452000,
contraction: 477000,
forall_inst: 1418000,
implies_neg1: 462000,
implies_neg2: 444000,
__local_input: 4183000,
equiv_simplify: 286000,319000,
__normalized_input: 1140000,4440000,1016000,998000,
rare_rewrite_eq-refl: 128000,
rare_rewrite_eq-symm: 261000,
rare_rewrite_bool-eq-true: 19445000,
rare_rewrite_bool-impl-elim: 18434000,34179000,

