1; Draft.Scratch_smt_check_7_4417; 2026-04-10 13:48:34.742;
bind: 283000,172000,192000,175000,284000,
cong: 142000,82000,69000,90000,50000,49000,48000,82000,59000,119000,65000,117000,100000,48000,77000,145000,
refl: 43000,33000,27000,267000,23000,36000,33000,40000,
symm: 70000,
trans: 158000,184000,136000,142000,143000,134000,86000,168000,175000,145000,151000,160000,172000,
or_pos: 283000,
implies: 479000,
parsing: 6668000,
aci_simp: 1050000,944000,1039000,1031000,
evaluate: 226000,
onepoint: 938000,
subproof: 1628000,
equiv_pos2: 183000,50000,79000,41000,83000,195000,
reordering: 411000,
resolution: 275000,294000,289000,179000,219000,173000,218000,436000,488000,330000,283000,
contraction: 400000,
forall_inst: 13771000,
implies_neg1: 677000,
implies_neg2: 378000,
__local_input: 230000,
__normalized_input: 23116000,12919000,3921000,1261000,854000,1104000,
rare_rewrite_eq-refl: 83000,
rare_rewrite_eq-symm: 85000,76000,118000,
rare_rewrite_or-not-refl: 6234000,
rare_rewrite_bool-impl-elim: 6284000,6261000,6184000,
rare_rewrite_bool-and-de-morgan: 5983000,6122000,
rare_rewrite_bool-double-not-elim: 125000,

