1; Draft.Scratch_smt_check_7_28232; 2026-04-10 13:48:34.600;
bind: 269000,261000,239000,
cong: 131000,96000,82000,90000,91000,201000,84000,88000,78000,77000,83000,47000,80000,252000,
refl: 51000,29000,45000,27000,57000,
symm: 71000,109000,
trans: 232000,226000,166000,162000,169000,93000,151000,
or_neg: 163000,192000,188000,186000,237000,
parsing: 4941000,
equiv_pos1: 134000,
equiv_pos2: 96000,175000,50000,171000,183000,
not_equiv1: 132000,
not_equiv2: 150000,
reordering: 252000,517000,
resolution: 165000,162000,176000,262000,257000,195000,316000,403000,492000,352000,
contraction: 234000,366000,
forall_inst: 897000,
__normalized_input: 21370000,1092000,1061000,1113000,
rare_rewrite_eq-symm: 138000,107000,168000,135000,215000,206000,
rare_rewrite_bool-double-not-elim: 115000,

