1; Draft.Scratch_smt_check_7_9987; 2026-04-10 13:47:35.452;
bind: 248000,446000,450000,423000,
cong: 129000,120000,218000,118000,89000,200000,176000,213000,124000,80000,338000,227000,
refl: 38000,56000,58000,56000,55000,
trans: 212000,179000,181000,144000,399000,320000,341000,272000,
or_pos: 463000,
implies: 335000,
parsing: 14462000,
aci_simp: 1057000,2130000,
subproof: 2160000,
equiv_pos2: 307000,312000,453000,
reordering: 558000,
resolution: 253000,280000,563000,485000,601000,674000,470000,460000,
contraction: 543000,
forall_inst: 1338000,
implies_neg1: 451000,
implies_neg2: 465000,
__local_input: 206000,
__normalized_input: 1281000,891000,943000,1062000,
rare_rewrite_eq-symm: 179000,161000,165000,
rare_rewrite_bool-impl-elim: 25355000,11470000,
rare_rewrite_bool-and-de-morgan: 6228000,11615000,
rare_rewrite_bool-double-not-elim: 103000,161000,170000,229000,

