1; Draft.Scratch_smt_check_7_9016; 2026-04-10 13:45:20.377;
and: 65000,112000,111000,143000,
bind: 345000,408000,346000,309000,12330000,636000,617000,549000,
cong: 229000,105000,62000,430000,101000,53000,77000,71000,72000,45000,65000,198000,209000,151000,175000,54000,178000,102000,52000,65000,75000,378000,175000,100000,414000,167000,94000,117000,91000,119000,75000,93000,107000,330000,364000,246000,351000,90000,287000,176000,599000,333000,168000,97000,
refl: 25000,35000,31000,25000,39000,22000,32000,46000,37000,19000,18000,49000,65000,56000,47000,92000,38000,26000,29000,58000,81000,65000,48000,71000,61000,
symm: 63000,67000,53000,57000,106000,103000,96000,102000,
trans: 312000,329000,300000,242000,286000,221000,216000,222000,203000,97000,74000,323000,358000,125000,542000,442000,485000,427000,539000,400000,361000,402000,223000,142000,
or_pos: 245000,
implies: 271000,
parsing: 55208000,
aci_simp: 1241000,1023000,1137000,2346000,1981000,1899000,1871000,
evaluate: 320000,
subproof: 2013000,
equiv_pos2: 44000,239000,32000,43000,53000,78000,445000,795000,
reordering: 313000,
resolution: 282000,298000,199000,249000,206000,158000,370000,525000,637000,382000,340000,292000,289000,
contraction: 488000,
forall_inst: 1538000,
and_simplify: 832000,
implies_neg1: 759000,
implies_neg2: 429000,
__local_input: 133000,
__normalized_input: 2429000,1157000,1125000,1118000,1312000,2180000,1125000,1039000,
rare_rewrite_eq-refl: 137000,
rare_rewrite_eq-symm: 90000,69000,74000,84000,62000,86000,178000,112000,127000,144000,142000,
rare_rewrite_bool-impl-elim: 6914000,12892000,
rare_rewrite_bool-or-de-morgan: 6024000,11723000,
rare_rewrite_bool-and-de-morgan: 6258000,6505000,12021000,12969000,

