1; Draft.Scratch_smt_check_7_12400; 2026-04-10 13:49:39.613;
bind: 309000,289000,315000,278000,
cong: 152000,114000,113000,148000,118000,111000,
refl: 48000,27000,34000,44000,28000,35000,
trans: 255000,193000,218000,245000,183000,209000,
or_pos: 257000,
implies: 222000,
parsing: 6023000,
aci_simp: 1116000,1127000,
subproof: 1642000,
equiv_pos2: 196000,188000,
reordering: 303000,
resolution: 295000,326000,316000,440000,461000,293000,338000,
contraction: 363000,
forall_inst: 792000,
implies_neg1: 311000,
implies_neg2: 309000,
__local_input: 123000,
__normalized_input: 714000,497000,502000,675000,
rare_rewrite_eq-symm: 120000,119000,
rare_rewrite_bool-impl-elim: 6358000,6394000,
rare_rewrite_bool-and-de-morgan: 6314000,6150000,

