1; Draft.Scratch_smt_check_7_6110; 2026-04-10 13:52:09.483;
bind: 236000,
cong: 56000,56000,44000,52000,49000,45000,57000,55000,98000,108000,52000,77000,47000,75000,94000,36000,63000,80000,41000,63000,50000,
refl: 26000,
symm: 124000,119000,181000,113000,155000,
false: 12000,
trans: 172000,131000,217000,153000,175000,
equiv2: 221000,238000,
or_pos: 223000,251000,
not_not: 197000,
parsing: 1798000,
evaluate: 251000,
equiv_pos2: 48000,47000,78000,45000,96000,46000,105000,32000,
reordering: 270000,382000,322000,456000,
resolution: 152000,196000,217000,306000,269000,258000,302000,253000,271000,245000,270000,247000,288000,229000,228000,257000,223000,219000,282000,
forall_inst: 879000,815000,740000,805000,822000,
equiv_simplify: 295000,488000,
__normalized_input: 2530000,1809000,1305000,1394000,768000,675000,649000,554000,523000,567000,604000,
rare_rewrite_eq-symm: 166000,

