1; Draft.Scratch_smt_check_7_6305; 2026-04-10 13:48:26.735;
bind: 196000,
cong: 77000,70000,71000,106000,93000,52000,97000,44000,111000,61000,79000,39000,63000,
refl: 26000,25000,
symm: 72000,101000,150000,
false: 12000,
trans: 133000,148000,162000,126000,121000,
equiv2: 266000,230000,
not_not: 191000,
parsing: 2456000,
evaluate: 253000,
equiv_pos2: 53000,93000,54000,63000,91000,40000,
resolution: 113000,156000,186000,202000,218000,218000,267000,242000,244000,180000,269000,
forall_inst: 847000,
equiv_simplify: 322000,280000,
__normalized_input: 9288000,27644000,17337000,15503000,13644000,19079000,1164000,1021000,
rare_rewrite_eq-symm: 174000,106000,91000,
rare_rewrite_bool-double-not-elim: 119000,

