1; Draft.Scratch_smt_check_7_6817; 2026-04-10 13:50:39.566;
bind: 765000,818000,679000,
cong: 365000,237000,162000,167000,232000,330000,232000,173000,259000,192000,86000,100000,123000,124000,90000,225000,212000,143000,116000,128000,81000,116000,92000,272000,272000,169000,89000,159000,118000,88000,125000,
refl: 49000,89000,29000,30000,34000,53000,
symm: 245000,261000,600000,274000,286000,259000,
false: 15000,
trans: 418000,588000,608000,294000,663000,306000,
equiv2: 898000,818000,
not_not: 551000,
parsing: 4260000,
evaluate: 449000,
equiv_pos1: 366000,
equiv_pos2: 409000,261000,353000,432000,383000,63000,
reordering: 1515000,
resolution: 186000,502000,531000,710000,586000,566000,641000,544000,646000,659000,699000,810000,753000,
forall_inst: 1916000,2200000,
equiv_simplify: 982000,989000,
__normalized_input: 72518000,71277000,41025000,15154000,7951000,1485000,1339000,1515000,
rare_rewrite_eq-symm: 650000,461000,512000,

