1; Draft.Scratch_smt_check_7_4109; 2026-04-10 13:51:39.847;
bind: 620000,473000,516000,476000,
cong: 101000,130000,86000,109000,146000,102000,142000,96000,
symm: 282000,283000,269000,282000,292000,286000,
trans: 443000,565000,476000,
implies: 474000,
parsing: 1148000,
subproof: 2281000,
equiv_pos2: 109000,229000,210000,
reordering: 614000,
resolution: 473000,626000,563000,632000,615000,452000,577000,
contraction: 633000,
forall_inst: 1510000,
implies_neg1: 698000,
implies_neg2: 496000,
__local_input: 382000,
__normalized_input: 28348000,16322000,812000,741000,
rare_rewrite_eq-symm: 385000,378000,370000,

