0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = false, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_provers = [], preplay_timeout = 1.000, provers =
0.sledgehammer initialize  ["cvc5_proof"], slices = 96, smt_proofs = true, spy = false, strict =
0.sledgehammer initialize  false, timeout = 30.000, try0 = true, type_enc = NONE, uncurried_aliases =
0.sledgehammer initialize  NONE, verbose = false}
0.sledgehammer goal.by            0ms Ordered_Resolution_Prover.FO_Ordered_Resolution 43:1692  
0.sledgehammer goal.using     31011ms Ordered_Resolution_Prover.FO_Ordered_Resolution 48:1815  timeout (SH 31011ms): Timed out
0.sledgehammer goal.by        35974ms Ordered_Resolution_Prover.FO_Ordered_Resolution 48:1827  timeout (SH 35974ms): Timed out
0.sledgehammer goal.proof     36086ms Ordered_Resolution_Prover.FO_Ordered_Resolution 53:1981  timeout (SH 36086ms): Timed out
0.sledgehammer goal.using     13094ms Ordered_Resolution_Prover.FO_Ordered_Resolution 55:2040  some (SH 13094ms, ATP 849ms): Try this: by (metis Melem_subst_cls subst_lit_in_negs_is_neg) (12 ms)
0.sledgehammer goal.by        11310ms Ordered_Resolution_Prover.FO_Ordered_Resolution 55:2087  some (SH 11310ms, ATP 376ms): Try this: by metis (15 ms)
0.sledgehammer goal.using      9962ms Ordered_Resolution_Prover.FO_Ordered_Resolution 58:2163  some (SH 9962ms, ATP 575ms): Try this: using subst_cls_def by auto (18 ms)
0.sledgehammer goal.by         8306ms Ordered_Resolution_Prover.FO_Ordered_Resolution 58:2183  some (SH 8306ms, ATP 574ms): Try this: by auto (18 ms)
0.sledgehammer goal.using      6015ms Ordered_Resolution_Prover.FO_Ordered_Resolution 60:2270  some (SH 6015ms, ATP 468ms): Try this: using image_mset_of_subset_list by blast (9 ms)
0.sledgehammer goal.by         4572ms Ordered_Resolution_Prover.FO_Ordered_Resolution 60:2337  some (SH 4572ms, ATP 320ms): Try this: by blast (0.7 ms)
0.sledgehammer goal.by        35825ms Ordered_Resolution_Prover.FO_Ordered_Resolution 63:2458  timeout (SH 35825ms): Timed out
0.sledgehammer goal.using      7285ms Ordered_Resolution_Prover.FO_Ordered_Resolution 66:2572  some (SH 7285ms, ATP 413ms): Try this: using As'_p by auto (3 ms)
0.sledgehammer goal.by         6296ms Ordered_Resolution_Prover.FO_Ordered_Resolution 66:2584  some (SH 6296ms, ATP 1185ms): Try this: by auto (4 ms)
0.sledgehammer goal.using      5993ms Ordered_Resolution_Prover.FO_Ordered_Resolution 68:2658  some (SH 5993ms, ATP 289ms): Try this: using As'_p by blast (0.9 ms)
0.sledgehammer goal.by         4155ms Ordered_Resolution_Prover.FO_Ordered_Resolution 68:2670  some (SH 4155ms, ATP 327ms): Try this: by blast (1 ms)
0.sledgehammer goal.using     32220ms Ordered_Resolution_Prover.FO_Ordered_Resolution 70:2711  some (SH 32220ms, ATP 859ms): Try this: using eql_map_neg_lit_eql_atm by blast (1 ms)
0.sledgehammer goal.by        14742ms Ordered_Resolution_Prover.FO_Ordered_Resolution 70:2741  some (SH 14742ms, ATP 1485ms): Try this: by blast (1 ms)
0.sledgehammer goal.by         6211ms Ordered_Resolution_Prover.FO_Ordered_Resolution 72:2779  some (SH 6211ms, ATP 1142ms): Try this: by blast (3 ms)
0.sledgehammer goal.using     36290ms Ordered_Resolution_Prover.FO_Ordered_Resolution 78:2951  timeout (SH 36290ms): Timed out
0.sledgehammer goal.proof     35395ms Ordered_Resolution_Prover.FO_Ordered_Resolution 79:2963  timeout (SH 35395ms): Timed out
0.sledgehammer goal.by        27113ms Ordered_Resolution_Prover.FO_Ordered_Resolution 82:3128  some (SH 27113ms, ATP 2352ms): Try this: by fastforce (13 ms)
0.sledgehammer goal.using      5885ms Ordered_Resolution_Prover.FO_Ordered_Resolution 84:3222  some (SH 5884ms, ATP 421ms): Try this: apply (simp add: Suc.prems(2)) (1 ms)
0.sledgehammer goal.by         4418ms Ordered_Resolution_Prover.FO_Ordered_Resolution 84:3242  some (SH 4418ms, ATP 395ms): Try this: apply auto[1] (2 ms)
