1; Draft.Scratch_smt_check_7_11860; 2026-04-10 13:51:30.063;
and: 191000,
bind: 286000,279000,393000,
cong: 241000,78000,136000,49000,65000,52000,79000,86000,53000,70000,56000,170000,170000,128000,103000,127000,72000,64000,41000,52000,
refl: 14000,17000,68000,74000,20000,
symm: 176000,105000,
false: 13000,
trans: 162000,345000,128000,111000,140000,118000,288000,306000,283000,276000,
equiv2: 213000,204000,
not_not: 194000,
parsing: 2566000,
evaluate: 399000,
equiv_pos2: 228000,37000,80000,38000,
resolution: 136000,183000,207000,231000,387000,282000,228000,219000,247000,251000,
forall_inst: 938000,806000,
connective_def: 403000,
equiv_simplify: 305000,295000,
__normalized_input: 11387000,7127000,1107000,1186000,1059000,785000,1062000,
miniscope_distribute: 414000,
rare_rewrite_bool-or-de-morgan: 6473000,
rare_rewrite_bool-double-not-elim: 302000,

