1; Draft.Scratch_smt_check_7_2019; 2026-04-10 13:51:04.909;
and: 194000,168000,195000,
bind: 317000,321000,282000,321000,314000,325000,376000,302000,382000,301000,279000,307000,272000,554000,390000,244000,
cong: 110000,207000,306000,407000,158000,144000,81000,66000,289000,377000,138000,162000,135000,92000,81000,55000,79000,270000,369000,201000,132000,74000,83000,79000,129000,98000,107000,81000,60000,68000,90000,106000,105000,130000,104000,108000,83000,59000,65000,95000,105000,104000,293000,196000,137000,134000,71000,97000,60000,351000,140000,133000,90000,102000,61000,366000,193000,104000,96000,220000,107000,68000,178000,154000,121000,123000,80000,60000,103000,66000,90000,134000,96000,280000,
refl: 57000,47000,33000,27000,43000,17000,20000,68000,37000,17000,20000,32000,62000,35000,35000,39000,320000,98000,107000,54000,45000,27000,48000,
symm: 151000,147000,262000,301000,227000,156000,
trans: 282000,625000,676000,583000,259000,270000,280000,235000,255000,272000,294000,243000,249000,373000,251000,237000,313000,363000,373000,250000,200000,164000,332000,278000,301000,273000,387000,265000,226000,204000,260000,200000,216000,228000,273000,
equiv1: 202000,226000,
equiv2: 226000,216000,
or_neg: 367000,332000,390000,352000,341000,424000,276000,277000,298000,
or_pos: 271000,
and_neg: 298000,
and_pos: 239000,
implies: 251000,336000,283000,
not_and: 9405000,
not_not: 218000,233000,
parsing: 14228000,
aci_simp: 1586000,1112000,1189000,
evaluate: 376000,
onepoint: 1182000,
qnt_join: 327000,
subproof: 1225000,1300000,1668000,
equiv_pos1: 108000,110000,90000,
equiv_pos2: 241000,346000,153000,169000,332000,219000,76000,363000,218000,76000,361000,246000,227000,111000,57000,112000,73000,226000,
reordering: 482000,512000,313000,269000,453000,386000,345000,
resolution: 261000,279000,348000,276000,383000,399000,413000,323000,556000,239000,234000,300000,284000,364000,437000,491000,492000,279000,404000,274000,298000,320000,348000,316000,377000,318000,592000,716000,356000,426000,456000,327000,321000,314000,407000,383000,601000,746000,255000,401000,329000,289000,299000,274000,386000,313000,285000,390000,373000,306000,505000,559000,
contraction: 358000,504000,711000,385000,609000,462000,
forall_inst: 1360000,983000,1010000,876000,797000,832000,941000,
implies_neg1: 336000,424000,328000,
implies_neg2: 344000,291000,444000,338000,
__local_input: 97000,614000,211000,
qnt_rm_unused: 454000,1459000,
connective_def: 305000,315000,
equiv_simplify: 327000,324000,304000,307000,
__normalized_input: 38492000,29031000,19045000,29152000,16210000,11303000,11099000,10882000,10381000,10263000,10117000,10663000,
miniscope_distribute: 640000,
rare_rewrite_eq-refl: 158000,
rare_rewrite_eq-symm: 316000,328000,207000,191000,280000,178000,195000,179000,245000,157000,148000,235000,141000,145000,178000,239000,178000,148000,245000,162000,167000,232000,336000,233000,204000,190000,134000,189000,210000,159000,232000,
rare_rewrite_or-not-refl: 7297000,
rare_rewrite_bool-impl-elim: 6870000,
rare_rewrite_bool-and-de-morgan: 6759000,7034000,
rare_rewrite_bool-or-and-distrib: 6989000,
rare_rewrite_bool-double-not-elim: 284000,278000,187000,227000,
rare_rewrite_bool-implies-de-morgan: 6601000,

