1; Draft.Scratch_smt_check_7_5605; 2026-04-10 13:45:55.897;
and: 72000,90000,69000,94000,
bind: 350000,381000,354000,346000,350000,386000,329000,552000,
cong: 234000,130000,72000,225000,104000,54000,79000,61000,73000,52000,81000,190000,209000,163000,179000,57000,179000,122000,52000,65000,87000,230000,116000,66000,226000,96000,49000,70000,52000,70000,45000,59000,76000,281000,348000,268000,292000,90000,287000,165000,554000,348000,163000,97000,
refl: 28000,39000,34000,26000,39000,23000,30000,55000,36000,18000,23000,26000,80000,34000,29000,40000,22000,17000,23000,53000,81000,68000,49000,69000,60000,
symm: 69000,71000,53000,77000,60000,61000,52000,63000,
trans: 322000,331000,301000,251000,331000,236000,230000,247000,216000,104000,80000,331000,319000,74000,292000,245000,314000,413000,386000,407000,432000,436000,215000,148000,
or_pos: 271000,
implies: 275000,
parsing: 22190000,
aci_simp: 1261000,1076000,1316000,1256000,2014000,1929000,1858000,
evaluate: 316000,
subproof: 1841000,
equiv_pos2: 45000,274000,34000,45000,29000,45000,475000,768000,
reordering: 343000,
resolution: 304000,332000,260000,263000,171000,188000,380000,500000,595000,363000,315000,159000,203000,
contraction: 462000,
forall_inst: 1586000,
and_simplify: 833000,
implies_neg1: 775000,
implies_neg2: 428000,
__local_input: 156000,
__normalized_input: 2612000,1141000,1070000,1050000,1005000,1138000,1055000,955000,
rare_rewrite_eq-refl: 137000,
rare_rewrite_eq-symm: 104000,82000,78000,102000,61000,112000,100000,75000,215000,130000,161000,
rare_rewrite_bool-impl-elim: 8610000,12173000,
rare_rewrite_bool-or-de-morgan: 6513000,11251000,
rare_rewrite_bool-and-de-morgan: 7334000,8365000,11454000,11780000,

