1; Draft.Scratch_smt_check_7_18472; 2026-04-10 13:50:29.039;
bind: 315000,366000,321000,318000,565000,
cong: 169000,163000,215000,190000,165000,286000,318000,
refl: 22000,33000,
trans: 277000,294000,300000,285000,264000,272000,279000,292000,267000,285000,261000,279000,507000,
parsing: 10005000,
aci_simp: 1207000,1112000,1205000,1317000,1092000,2066000,
poly_simp: 1869000,3303000,
equiv_pos2: 177000,371000,
resolution: 154000,368000,226000,370000,
poly_simp_rel: 1023000,1985000,
connective_def: 367000,
miniscope_split: 413000,
__normalized_input: 1800000,1522000,1368000,
rare_rewrite_bool-impl-elim: 23094000,
rare_rewrite_bool-and-de-morgan: 6272000,6881000,6492000,6497000,

