1; Draft.Scratch_smt_check_7_6925; 2026-04-10 13:50:39.220;
and: 206000,167000,
bind: 226000,232000,340000,
cong: 79000,74000,191000,153000,118000,85000,112000,85000,109000,82000,
refl: 47000,38000,60000,68000,28000,
symm: 149000,
trans: 280000,211000,220000,181000,315000,
or_pos: 371000,
implies: 245000,
parsing: 3064000,
aci_simp: 1138000,
subproof: 1263000,
equiv_pos1: 77000,
equiv_pos2: 114000,117000,221000,185000,223000,82000,
reordering: 524000,391000,
resolution: 244000,246000,234000,266000,346000,391000,369000,239000,316000,322000,354000,369000,209000,361000,348000,
contraction: 359000,
forall_inst: 803000,909000,1132000,841000,
implies_neg1: 291000,
implies_neg2: 322000,
__local_input: 295000,
__normalized_input: 1215000,957000,895000,845000,965000,
miniscope_distribute: 404000,
rare_rewrite_eq-symm: 146000,138000,172000,279000,
rare_rewrite_bool-impl-elim: 6738000,
rare_rewrite_bool-and-de-morgan: 6108000,
rare_rewrite_bool-double-not-elim: 170000,

