1; Draft.Scratch_smt_check_7_12665; 2026-04-10 13:49:30.984;
bind: 370000,394000,383000,
cong: 158000,156000,125000,154000,
refl: 51000,49000,45000,
trans: 205000,225000,214000,246000,239000,258000,
choice: 59000,
or_pos: 386000,405000,
implies: 351000,
parsing: 4226000,
aci_simp: 1130000,1352000,1161000,
subproof: 1831000,
equiv_pos2: 250000,220000,111000,221000,
reordering: 615000,543000,
resolution: 312000,372000,343000,286000,383000,384000,224000,245000,227000,555000,538000,586000,364000,362000,
sko_forall: 1202000,
contraction: 544000,
forall_inst: 997000,951000,1020000,816000,984000,
implies_neg1: 512000,
implies_neg2: 501000,
__local_input: 171000,
__normalized_input: 6209000,4945000,780000,576000,573000,686000,
rare_rewrite_bool-impl-elim: 6613000,7201000,6206000,
rare_rewrite_bool-and-de-morgan: 6256000,6460000,6097000,

