1; Draft.Scratch_smt_check_7_4308; 2026-04-10 13:50:54.499;
bind: 1099000,859000,725000,662000,
cong: 201000,169000,192000,176000,98000,87000,108000,79000,393000,171000,194000,165000,90000,122000,151000,104000,90000,107000,79000,378000,171000,160000,99000,84000,120000,98000,
refl: 29000,32000,64000,30000,35000,127000,29000,31000,
trans: 974000,790000,818000,693000,
or_pos: 594000,925000,
parsing: 4228000,
aci_simp: 2785000,
equiv_pos2: 217000,428000,265000,
reordering: 711000,1281000,
resolution: 634000,700000,759000,773000,552000,772000,678000,
forall_inst: 2026000,1739000,
__normalized_input: 87498000,11374000,10983000,6899000,5781000,
rare_rewrite_bool-impl-elim: 13619000,13060000,
rare_rewrite_bool-and-de-morgan: 13356000,

