1; Draft.Scratch_smt_check_7_23589; 2026-04-10 13:49:20.490;
bind: 480000,388000,330000,329000,
cong: 77000,170000,131000,137000,105000,72000,
refl: 37000,26000,
symm: 197000,
trans: 256000,280000,327000,
choice: 63000,
equiv1: 248000,275000,
equiv2: 193000,220000,
or_neg: 231000,262000,279000,248000,
or_pos: 392000,367000,
not_not: 217000,
parsing: 2775000,
equiv_pos2: 194000,152000,136000,130000,
reordering: 465000,333000,472000,
resolution: 326000,374000,447000,259000,241000,264000,309000,270000,283000,268000,388000,341000,376000,407000,395000,461000,318000,
sko_forall: 1303000,
contraction: 527000,
forall_inst: 1069000,963000,894000,
equiv_simplify: 265000,321000,307000,351000,
__normalized_input: 6534000,4880000,4940000,4825000,
rare_rewrite_bool-impl-elim: 7315000,6992000,6848000,
rare_rewrite_bool-double-not-elim: 249000,

