rule,count,total,mean,min,first_quartile,median,third_quartile,max
__normalized_input,19281,188498509000,9776386.546340957,427000,1130000,3498000,11855000,371708000
parsing,2938,73086022000,24876113.6827774,32000,1441250,4381500,16260000,3523113000
rare_rewrite_bool-and-de-morgan,8724,69716717000,7991370.58688675,5333000,6211000,6765000,8031500,240815000
resolution,117254,68873353000,587385.9569822778,125000,280000,369000,526000,861306000
rare_rewrite_bool-impl-elim,8311,68826868000,8281418.3612080375,5406000,6317000,6825000,8830000,272043000
poly_simp,11832,34635162000,2927244.9290060853,1390000,1876000,2362000,3160500,582117000
trans,71238,28688395000,402711.9655240181,79000,221000,301000,444000,281267000
reordering,18454,26026183000,1410327.4628806764,155000,336000,473000,754000,868348000
rare_rewrite_arith-elim-lt,2775,23177798000,8352359.639639639,5271000,6098500,6582000,7955000,348660000
cong,111397,21623542000,194112.4267260339,18000,83000,125000,202000,221075000
forall_inst,18194,20582188000,1131262.3941958887,607000,830000,940000,1231000,45258000
aci_simp,11780,17759525000,1507599.7453310697,861000,1106000,1251000,1681000,21140000
subproof,9700,17747469000,1829635.9793814432,984000,1228000,1433000,2055000,57374000
contraction,16668,16271782000,976228.8216942644,135000,349000,490000,781000,433936000
rare_rewrite_arith-elim-leq,2057,15404571000,7488853.184248907,5292000,6051000,6486000,7302000,37459000
bind,33920,15265958000,450057.7240566038,138000,269000,347000,497000,367294000
and_pos,15677,13903989000,886903.6805511259,92000,264000,435000,807000,574486000
rare_rewrite_bool-impl-false1,1293,10311337000,7974738.592420727,5304000,6253000,6829000,8089000,46338000
equiv_pos2,37978,10234286000,269479.33013850125,26000,107000,172000,295000,39974000
rare_rewrite_or-not-refl,1268,10092767000,7959595.425867508,5382000,6477000,6898500,7871250,28347000
poly_simp_rel,6700,9184412000,1370807.7611940298,884000,1052000,1139000,1333250,60415000
rare_rewrite_bool-eq-false,880,7529216000,8555927.272727273,5275000,6241750,6901500,11491250,35085000
implies_neg1,9716,6792063000,699059.5924248662,97000,313000,439000,698000,41279000
implies_neg2,9720,6328876000,651118.9300411523,79000,297000,420000,654000,83011000
or_neg,12336,6296350000,510404.50713359274,121000,254000,344000,506000,48384000
la_generic,477,6109005000,12807138.364779875,4212000,7153000,10752000,15781000,66737000
rare_rewrite_eq-symm,20473,5266612000,257246.71518585453,85000,158000,197000,279000,55537000
implies,9504,4862317000,511607.4284511785,100000,243000,330000,499000,303159000
symm,15442,4418494000,286134.82709493587,63000,152000,218000,319000,21065000
rare_rewrite_bool-or-de-morgan,536,4166877000,7774024.253731343,5400000,6247500,6728500,7487000,260400000
rare_rewrite_ite-eq,422,3749043000,8883988.151658768,5629000,6604500,7218500,8626750,113824000
rare_rewrite_bool-eq-true,462,3702830000,8014783.54978355,5427000,6202500,6656500,7662500,42682000
rare_rewrite_ite-not-cond,459,3540663000,7713862.7450980395,5386000,6179000,6788000,7663000,46779000
qnt_rm_unused,1849,3363755000,1819229.313142239,148000,469000,968000,1777000,110690000
refl,41308,3336464000,80770.40766921661,13000,28000,41000,71000,26187000
__local_input,20309,3098008000,152543.6013590034,20000,61000,113000,203000,21970000
equiv_simplify,6498,2959290000,455415.51246537396,158000,255000,328000,509000,23930000
or_pos,6695,2955238000,441409.7087378641,176000,281000,347000,496000,45291000
sko_forall,933,2770126000,2969052.518756699,862000,1227000,1759000,2459000,158398000
onepoint,1268,2666887000,2103223.186119874,797000,1154500,1446000,2041750,31397000
rare_rewrite_arith-elim-gt,284,2247476000,7913647.887323944,5464000,6291250,6697500,7545000,27574000
equiv1,4624,2165301000,468274.437716263,90000,193000,285000,478250,48258000
rare_rewrite_bool-double-not-elim,7134,1930608000,270620.6896551724,86000,158000,206000,310000,15357000
rare_rewrite_bool-or-and-distrib,262,1859631000,7097828.244274809,5525000,5886500,6354000,6906000,22773000
evaluate,5014,1790867000,357173.3147187874,148000,261000,312000,405000,8080000
hole,2,1637622000,818811000,805613000,812212000,818811000,825410000,832009000
equiv2,3902,1314884000,336976.9349051768,90000,181000,246000,381750,11749000
and_intro,2438,1159888000,475753.8966365874,100000,204000,288000,463000,40119000
rare_rewrite_arith-geq-tighten,152,1107229000,7284401.315789473,5571000,5969750,6325000,6954500,25068000
implies_simplify,1244,973607000,782642.2829581994,164000,328000,500000,816500,25343000
rare_rewrite_arith-leq-norm,105,795531000,7576485.714285715,5382000,6011000,6383000,7182000,22510000
rare_rewrite_eq-refl,2667,763667000,286339.3325834271,77000,151000,194000,276000,34694000
rare_rewrite_bool-implies-de-morgan,107,738355000,6900514.018691589,5617000,5977000,6202000,6929500,13736000
connective_def,1407,731439000,519857.14285714284,165000,328000,424000,613500,8169000
and_neg,1324,716302000,541013.5951661632,175000,273000,365000,550000,9347000
rare_rewrite_bool-not-eq-elim1,99,714493000,7217101.01010101,5577000,6112500,6568000,7263000,19745000
qnt_join,1291,656286000,508354.76374903176,210000,317000,405000,562000,9967000
miniscope_split,742,638967000,861141.5094339623,240000,398000,573000,887750,27743000
not_and,1078,573687000,532177.1799628943,150000,267000,370500,527000,12988000
not_not,1867,539404000,288914.8366363149,112000,189500,234000,348000,9342000
la_mult_neg,736,388067000,527264.945652174,172000,339000,409000,540000,7725000
and,1431,385269000,269230.607966457,97000,155500,207000,324500,13680000
la_mult_pos,61,280974000,4606131.147540984,276000,386000,452000,599000,248629000
comp_simplify,129,235722000,1827302.3255813953,1272000,1413000,1511000,1723000,14425000
miniscope_distribute,201,223209000,1110492.537313433,339000,447000,679000,1171000,10827000
equiv_pos1,1533,221236000,144315.7208088715,28000,64000,91000,138000,7908000
rare_rewrite_arith-geq-norm1-real,20,162328000,8116400,5514000,6296500,6691000,7746250,15914000
rare_rewrite_bool-eq-nrefl,19,141759000,7461000,5879000,6272500,6681000,7578000,13753000
or_simplify,176,123887000,703903.4090909091,450000,502750,542500,756500,8124000
rare_rewrite_ite-true-cond,17,112942000,6643647.05882353,5914000,5978000,6447000,6630000,9101000
ite2,301,102719000,341259.1362126246,102000,198000,267000,383000,5005000
rare_rewrite_arith-int-geq-tighten,1,95042000,95042000,95042000,95042000,95042000,95042000,95042000
rare_rewrite_bool-not-eq-elim2,11,90969000,8269909.090909091,5863000,6148500,6423000,9233000,15044000
not_or,157,80877000,515140.127388535,170000,348000,441000,541000,7590000
ite1,210,71771000,341766.6666666667,102000,185250,249000,371500,4885000
rare_rewrite_bool-impl-true2,8,68748000,8593500,5613000,6270500,7425000,11594250,12524000
rare_rewrite_bool-or-taut2,10,64655000,6465500,5652000,5974500,6594000,6916000,7295000
choice,948,57206000,60343.88185654009,20000,39000,60000,77000,230000
true,422,53150000,125947.8672985782,68000,93000,105000,132750,379000
rare_rewrite_ite-false-cond,6,48539000,8089833.333333333,6611000,7160500,7298500,7455250,12709000
rare_rewrite_ite-then-true,6,47980000,7996666.666666667,6777000,6892250,7283000,7404500,12430000
not_symm,181,38587000,213187.8453038674,94000,133000,172000,299000,532000
rare_rewrite_bool-not-ite-elim,5,38251000,7650200,6049000,6247000,6816000,7266000,11873000
rare_rewrite_ite-then-false,4,37819000,9454750,6034000,6220000,9211000,12445750,13363000
and_simplify,59,36976000,626711.8644067796,464000,551500,590000,638000,1255000
not_equiv2,118,36653000,310618.6440677966,107000,193250,258000,379750,1205000
rare_rewrite_ite-else-true,2,35134000,17567000,6415000,11991000,17567000,23143000,28719000
not_equiv1,113,33804000,299150.4424778761,105000,188000,244000,377000,1088000
rare_rewrite_arith-geq-norm1-int,4,33249000,8312250,6718000,7081000,7304500,8535750,11922000
not_implies1,26,29018000,1116076.923076923,112000,183500,283500,328250,11404000
rare_rewrite_eq-ite-lift,3,23254000,7751333.333333333,6468000,7420000,8372000,8393000,8414000
rare_rewrite_ite-else-false,2,13931000,6965500,6950000,6957750,6965500,6973250,6981000
la_disequality,95,11437000,120389.47368421052,37000,58000,101000,151000,439000
false,407,7074000,17380.835380835382,12000,14000,15000,20000,58000
implies_pos,20,7036000,351800,141000,170500,233500,405250,922000
not_implies2,22,6438000,292636.36363636365,139000,192500,306000,359500,566000
rare_rewrite_bool-impl-false2,1,6069000,6069000,6069000,6069000,6069000,6069000,6069000
ite_pos2,13,5870000,451538.46153846156,237000,312000,438000,567000,896000
ite_pos1,12,5138000,428166.6666666667,238000,291000,338000,517000,832000
miniscope_ite,1,4352000,4352000,4352000,4352000,4352000,4352000,4352000
ite_neg1,10,3603000,360300,169000,204250,325000,455500,747000
ac_simp,3,2632000,877333.3333333334,867000,869500,872000,882500,893000
equiv_neg2,36,1580000,43888.88888888889,29000,33750,36000,47500,78000
equiv_neg1,33,1566000,47454.545454545456,32000,35000,43000,58000,83000
ite_neg2,3,1165000,388333.3333333333,243000,284500,326000,461000,596000
not_ite2,1,766000,766000,766000,766000,766000,766000,766000
