1; Draft.Scratch_smt_check_7_30904; 2026-04-10 13:49:39.902;
cong: 71000,74000,68000,75000,87000,
symm: 100000,146000,183000,
trans: 176000,163000,
and_neg: 360000,
and_pos: 278000,278000,230000,
implies: 297000,
parsing: 1761000,
subproof: 1525000,
reordering: 434000,745000,
resolution: 248000,299000,514000,421000,380000,723000,284000,
contraction: 393000,446000,
forall_inst: 935000,896000,
implies_neg1: 474000,
implies_neg2: 364000,
__local_input: 64000,70000,87000,
__normalized_input: 12385000,1201000,1186000,1325000,

