1; Draft.Scratch_smt_check_7_29996; 2026-04-10 13:45:55.885;
and: 77000,83000,76000,96000,118000,152000,
bind: 702000,
cong: 411000,287000,264000,232000,202000,177000,169000,
refl: 207000,41000,543000,
trans: 596000,539000,491000,467000,428000,409000,329000,285000,273000,
or_pos: 1074000,
and_neg: 203000,
and_pos: 147000,284000,
parsing: 40088000,
aci_simp: 1386000,
equiv_pos1: 103000,
equiv_pos2: 394000,101000,1053000,
reordering: 386000,317000,390000,215000,398000,1523000,
resolution: 213000,212000,226000,222000,288000,143000,214000,221000,324000,361000,485000,
forall_inst: 950000,971000,2365000,
__normalized_input: 11696000,4259000,4064000,2018000,939000,
rare_rewrite_bool-impl-elim: 27133000,
rare_rewrite_bool-or-de-morgan: 6542000,7016000,6787000,6176000,6528000,6459000,6800000,

