1; Draft.Scratch_smt_check_7_32421; 2026-04-10 13:47:10.716;
and: 190000,168000,98000,104000,97000,116000,
bind: 509000,777000,606000,587000,513000,384000,338000,293000,407000,
cong: 288000,426000,343000,359000,305000,203000,150000,258000,265000,193000,196000,109000,97000,185000,253000,199000,434000,
refl: 131000,57000,145000,163000,117000,33000,86000,70000,35000,62000,71000,85000,
symm: 354000,288000,321000,154000,185000,
trans: 397000,416000,695000,642000,588000,470000,549000,438000,477000,528000,347000,335000,374000,408000,323000,339000,311000,249000,270000,220000,203000,206000,243000,347000,337000,328000,
equiv1: 615000,208000,
equiv2: 354000,324000,176000,
or_neg: 566000,565000,606000,557000,
or_pos: 553000,486000,480000,304000,266000,315000,
and_pos: 432000,483000,513000,512000,239000,263000,380000,387000,411000,399000,231000,226000,
implies: 521000,
not_and: 553000,
not_not: 273000,159000,
parsing: 34023000,
aci_simp: 2073000,2232000,2553000,2302000,2142000,2149000,1167000,1304000,1174000,1389000,1303000,1399000,
evaluate: 256000,
subproof: 2213000,1899000,
and_intro: 277000,
equiv_pos2: 407000,306000,574000,327000,485000,453000,189000,154000,382000,153000,28000,247000,188000,164000,272000,149000,456000,
reordering: 1160000,627000,1141000,596000,871000,723000,991000,743000,571000,341000,584000,320000,439000,1842000,390000,563000,345000,548000,309000,458000,
resolution: 391000,340000,475000,568000,475000,284000,449000,485000,280000,444000,445000,575000,422000,506000,547000,1149000,3314000,582000,451000,549000,485000,884000,262000,305000,417000,517000,527000,329000,431000,409000,482000,527000,474000,153000,265000,307000,155000,261000,264000,353000,687000,588000,1376000,241000,320000,340000,197000,181000,248000,220000,260000,392000,344000,152000,266000,299000,148000,263000,260000,388000,
contraction: 1635000,744000,682000,725000,816000,
forall_inst: 1432000,1543000,1805000,1837000,1539000,1601000,1403000,860000,1144000,1043000,956000,825000,1016000,1065000,1036000,
implies_neg1: 330000,801000,
implies_neg2: 379000,640000,
__local_input: 36000,64000,34000,35000,56000,39000,
equiv_simplify: 515000,494000,263000,502000,
implies_simplify: 778000,
__normalized_input: 4805000,23304000,7503000,2337000,1730000,1762000,2369000,1802000,
rare_rewrite_eq-symm: 636000,633000,320000,350000,331000,349000,
rare_rewrite_bool-impl-elim: 11541000,11850000,11913000,6411000,6824000,7021000,
rare_rewrite_bool-and-de-morgan: 11434000,11735000,12466000,9330000,6545000,6468000,
rare_rewrite_bool-double-not-elim: 210000,

