1; Draft.Scratch_smt_check_7_24297; 2026-04-10 13:47:10.813;
and: 114000,121000,175000,
cong: 134000,133000,91000,246000,136000,141000,80000,191000,104000,66000,117000,174000,226000,216000,118000,328000,170000,105000,158000,332000,1063000,
refl: 29000,46000,171000,159000,94000,185000,
symm: 130000,206000,128000,171000,112000,285000,241000,329000,187000,489000,
trans: 125000,233000,198000,272000,278000,393000,345000,478000,485000,
equiv1: 433000,487000,
equiv2: 237000,276000,579000,
or_neg: 419000,428000,401000,426000,443000,
and_pos: 381000,356000,1050000,1109000,956000,1058000,1088000,
implies: 200000,714000,
not_and: 467000,
not_not: 217000,350000,
parsing: 28644000,
evaluate: 204000,
subproof: 1195000,1289000,3271000,
and_intro: 573000,
equiv_pos2: 150000,297000,146000,169000,29000,276000,332000,1455000,
reordering: 673000,17284000,
resolution: 266000,344000,226000,174000,187000,346000,371000,375000,239000,237000,980000,3046000,441000,291000,388000,315000,720000,151000,204000,257000,248000,228000,317000,334000,239000,208000,266000,940000,822000,4033000,349000,391000,353000,478000,510000,358000,319000,352000,420000,
contraction: 329000,1418000,402000,426000,1027000,1265000,
forall_inst: 841000,753000,796000,864000,857000,837000,757000,832000,1485000,1290000,1416000,1529000,
implies_neg1: 291000,450000,2167000,
implies_neg2: 293000,286000,935000,
__local_input: 52000,48000,57000,112000,102000,46000,92000,144000,
equiv_simplify: 342000,383000,707000,644000,
implies_simplify: 534000,
__normalized_input: 3434000,1757000,6768000,1070000,1034000,
rare_rewrite_eq-symm: 223000,317000,610000,
rare_rewrite_bool-eq-false: 7092000,7454000,11937000,12196000,
rare_rewrite_bool-double-not-elim: 571000,

