1; Draft.Scratch_smt_check_7_16529; 2026-04-10 13:47:10.246;
and: 60000,61000,77000,76000,
bind: 561000,998000,482000,414000,462000,399000,
cong: 320000,203000,183000,221000,569000,520000,210000,206000,
refl: 50000,149000,31000,45000,159000,
trans: 494000,414000,444000,350000,325000,285000,302000,602000,434000,418000,
equiv1: 414000,
or_pos: 812000,
and_pos: 194000,
parsing: 42267000,
aci_simp: 1607000,1227000,1927000,2906000,2042000,
equiv_pos2: 808000,274000,
reordering: 292000,1353000,
resolution: 392000,605000,446000,340000,472000,338000,
forall_inst: 1952000,
__normalized_input: 2403000,1188000,803000,765000,879000,
rare_rewrite_bool-impl-elim: 13018000,12170000,12062000,
rare_rewrite_bool-and-de-morgan: 5971000,6869000,6539000,21378000,

