1; Draft.Scratch_smt_check_7_20734; 2026-04-10 13:47:10.234;
and: 96000,93000,165000,
bind: 214000,168000,181000,214000,286000,400000,
cong: 59000,108000,100000,103000,578000,
refl: 55000,84000,90000,79000,
symm: 106000,106000,86000,109000,214000,164000,192000,
trans: 116000,134000,143000,224000,245000,
equiv1: 143000,199000,
equiv2: 100000,99000,182000,
or_neg: 247000,247000,256000,250000,259000,249000,
and_pos: 122000,127000,493000,522000,532000,510000,493000,521000,
implies: 314000,
not_and: 280000,
not_not: 112000,229000,
parsing: 9035000,
evaluate: 190000,
not_symm: 81000,80000,138000,
subproof: 1043000,2455000,
and_intro: 291000,
equiv_pos2: 144000,114000,109000,144000,28000,193000,268000,636000,
reordering: 445000,283000,1615000,
resolution: 263000,217000,175000,247000,177000,155000,214000,848000,2950000,272000,187000,201000,201000,348000,155000,151000,155000,214000,146000,186000,175000,166000,229000,186000,413000,388000,1731000,259000,375000,271000,284000,328000,291000,316000,409000,353000,
contraction: 993000,178000,200000,454000,595000,
forall_inst: 663000,731000,676000,904000,658000,673000,701000,785000,1268000,1258000,1344000,1321000,
implies_neg1: 161000,897000,
implies_neg2: 116000,363000,
__local_input: 19000,41000,36000,45000,84000,40000,33000,72000,
equiv_simplify: 169000,179000,328000,432000,
implies_simplify: 216000,
__normalized_input: 14255000,2771000,2052000,1812000,1570000,1795000,
rare_rewrite_eq-symm: 134000,117000,117000,137000,203000,242000,
rare_rewrite_bool-double-not-elim: 199000,

