1; Draft.Scratch_smt_check_7_21550; 2026-04-10 13:47:10.094;
and: 63000,67000,68000,89000,
bind: 542000,514000,240000,228000,187000,
cong: 51000,44000,53000,309000,201000,182000,200000,284000,301000,118000,135000,134000,257000,101000,144000,95000,91000,110000,80000,85000,97000,78000,535000,
refl: 69000,50000,24000,29000,70000,31000,110000,82000,88000,67000,
symm: 175000,237000,145000,
trans: 105000,462000,383000,410000,301000,296000,276000,278000,293000,212000,178000,236000,192000,191000,
choice: 78000,
equiv1: 437000,
equiv2: 212000,177000,
or_neg: 164000,188000,135000,162000,406000,310000,250000,245000,250000,241000,256000,
or_pos: 183000,405000,
and_neg: 181000,
and_pos: 68000,84000,249000,267000,307000,367000,554000,571000,513000,526000,510000,524000,
implies: 183000,981000,
not_and: 297000,
not_not: 191000,
parsing: 58042000,
aci_simp: 1553000,1137000,967000,1357000,
evaluate: 312000,
subproof: 1123000,2299000,2598000,
and_intro: 547000,
equiv_pos2: 50000,402000,128000,108000,121000,237000,89000,58000,98000,657000,
reordering: 190000,246000,114000,126000,241000,651000,1355000,3248000,
resolution: 229000,200000,170000,353000,582000,423000,205000,752000,241000,271000,200000,244000,346000,389000,391000,349000,327000,180000,698000,2221000,272000,289000,374000,330000,1347000,245000,247000,335000,304000,297000,249000,442000,1138000,1045000,2635000,369000,305000,322000,
sko_forall: 1210000,
contraction: 221000,325000,312000,753000,359000,517000,1251000,1421000,
forall_inst: 741000,1024000,711000,771000,1304000,1402000,1348000,1329000,
implies_neg1: 271000,865000,1254000,
implies_neg2: 257000,277000,1269000,
__local_input: 50000,33000,62000,53000,54000,65000,53000,47000,44000,42000,59000,
equiv_simplify: 362000,338000,
implies_simplify: 528000,
__normalized_input: 3408000,1642000,1828000,2790000,928000,4982000,910000,785000,991000,
rare_rewrite_bool-impl-elim: 6810000,6261000,6021000,
rare_rewrite_bool-and-de-morgan: 5662000,6327000,7036000,6765000,
rare_rewrite_bool-double-not-elim: 90000,83000,207000,162000,168000,247000,

