1; Draft.Scratch_smt_check_7_9290; 2026-04-10 13:47:09.168;
bind: 328000,240000,264000,264000,
cong: 108000,82000,120000,134000,82000,86000,114000,76000,114000,208000,95000,86000,220000,138000,82000,91000,
refl: 32000,30000,
trans: 239000,150000,242000,145000,193000,145000,149000,
implies: 190000,
parsing: 3130000,
evaluate: 288000,
subproof: 2022000,
equiv_pos2: 78000,188000,80000,173000,306000,
reordering: 308000,
resolution: 251000,381000,404000,396000,441000,576000,295000,355000,385000,
contraction: 349000,
forall_inst: 1181000,
implies_neg1: 280000,
implies_neg2: 281000,
__local_input: 152000,
__normalized_input: 951000,742000,858000,
rare_rewrite_eq-refl: 123000,
rare_rewrite_eq-symm: 137000,134000,129000,152000,135000,128000,133000,
rare_rewrite_bool-eq-false: 11309000,
rare_rewrite_bool-double-not-elim: 169000,162000,166000,

