1; Draft.Scratch_smt_check_7_28850; 2026-04-10 13:49:30.797;
bind: 394000,170000,234000,367000,285000,
cong: 174000,78000,80000,112000,201000,118000,90000,79000,60000,153000,137000,
refl: 50000,21000,54000,20000,26000,19000,
symm: 114000,
trans: 252000,257000,178000,
choice: 63000,
or_neg: 175000,241000,285000,
or_pos: 309000,
and_neg: 235000,
and_pos: 169000,
implies: 235000,
parsing: 4358000,
aci_simp: 1175000,
subproof: 1216000,
equiv_pos1: 110000,
equiv_pos2: 250000,86000,91000,170000,102000,252000,133000,
reordering: 337000,411000,432000,250000,431000,
resolution: 412000,451000,359000,379000,229000,264000,236000,224000,206000,186000,284000,409000,476000,435000,380000,411000,333000,254000,271000,415000,
sko_forall: 1218000,
contraction: 311000,306000,
forall_inst: 945000,974000,865000,986000,
implies_neg1: 245000,
implies_neg2: 242000,
__local_input: 118000,
__normalized_input: 11900000,6295000,5679000,2970000,517000,528000,590000,
rare_rewrite_bool-eq-true: 6777000,
rare_rewrite_bool-impl-elim: 7220000,7424000,
rare_rewrite_bool-and-de-morgan: 7424000,
rare_rewrite_bool-double-not-elim: 216000,

