1; Draft.Scratch_smt_check_7_15676; 2026-04-10 13:50:15.727;
bind: 181000,187000,192000,178000,
cong: 84000,87000,138000,138000,84000,81000,86000,287000,
refl: 37000,
trans: 116000,164000,159000,111000,118000,
or_pos: 210000,
implies: 149000,
parsing: 3557000,
subproof: 1047000,
poly_simp: 1726000,1569000,1669000,14146000,
equiv_pos1: 53000,
equiv_pos2: 104000,34000,127000,188000,354000,
reordering: 208000,227000,218000,
resolution: 166000,257000,206000,221000,297000,189000,214000,255000,265000,303000,288000,184000,264000,
contraction: 221000,
forall_inst: 748000,666000,1316000,
implies_neg1: 457000,
implies_neg2: 187000,
__local_input: 258000,
poly_simp_rel: 971000,885000,961000,1046000,
__normalized_input: 3144000,1462000,1151000,1091000,1244000,
rare_rewrite_eq-symm: 277000,
rare_rewrite_arith-elim-lt: 5648000,5832000,11274000,
rare_rewrite_bool-impl-elim: 5631000,
rare_rewrite_bool-double-not-elim: 122000,

