1; Draft.Scratch_smt_check_7_30838; 2026-04-10 13:50:04.596;
and: 172000,129000,128000,170000,172000,
bind: 297000,324000,291000,275000,317000,297000,320000,283000,
cong: 147000,76000,160000,100000,94000,137000,141000,137000,139000,144000,73000,132000,74000,156000,138000,151000,150000,142000,247000,144000,90000,
refl: 27000,31000,32000,38000,29000,27000,35000,46000,30000,27000,32000,30000,27000,36000,33000,36000,
symm: 137000,147000,
trans: 264000,277000,273000,266000,265000,254000,278000,274000,291000,292000,277000,287000,285000,261000,294000,240000,242000,173000,
or_pos: 279000,
implies: 248000,
parsing: 4557000,
aci_simp: 1320000,1121000,1520000,1456000,1444000,
evaluate: 321000,
subproof: 1750000,
equiv_pos2: 148000,168000,267000,
reordering: 269000,
resolution: 279000,359000,275000,372000,488000,565000,409000,367000,
contraction: 394000,
forall_inst: 910000,
implies_neg1: 362000,
implies_neg2: 377000,
__local_input: 208000,
connective_def: 345000,352000,
__normalized_input: 725000,968000,
rare_rewrite_eq-refl: 264000,
rare_rewrite_eq-symm: 201000,162000,170000,177000,
rare_rewrite_bool-and-de-morgan: 7723000,8186000,7192000,7767000,
rare_rewrite_bool-double-not-elim: 254000,281000,

