1; Draft.Scratch_smt_check_7_31925; 2026-04-10 13:50:04.085;
cong: 125000,85000,76000,74000,153000,
refl: 17000,37000,
trans: 228000,234000,
implies: 207000,
parsing: 2075000,
subproof: 1446000,
equiv_pos2: 141000,84000,140000,
resolution: 267000,299000,251000,331000,384000,231000,335000,
contraction: 309000,
forall_inst: 1084000,
implies_neg1: 290000,
implies_neg2: 261000,
__local_input: 221000,
connective_def: 349000,340000,
__normalized_input: 1053000,661000,1119000,
rare_rewrite_bool-double-not-elim: 238000,232000,

