1; Draft.Scratch_smt_check_7_9488; 2026-04-10 13:47:49.877;
bind: 189000,170000,
cong: 41000,54000,75000,80000,30000,30000,31000,22000,49000,46000,84000,
refl: 40000,18000,20000,
symm: 96000,98000,83000,
false: 12000,
trans: 95000,164000,123000,80000,
equiv1: 82000,
equiv2: 91000,116000,
not_not: 132000,
parsing: 1722000,
evaluate: 259000,
equiv_pos2: 28000,109000,44000,35000,
resolution: 123000,160000,148000,174000,171000,243000,164000,213000,154000,245000,
forall_inst: 772000,
equiv_simplify: 162000,149000,217000,
__normalized_input: 1073000,584000,395000,628000,
rare_rewrite_eq-refl: 86000,
rare_rewrite_eq-symm: 118000,

