1; Draft.Scratch_smt_check_7_7522; 2026-04-10 13:43:14.755;
cong: 111000,107000,104000,97000,284000,
refl: 62000,71000,
symm: 118000,138000,
trans: 102000,137000,167000,
equiv1: 238000,251000,
equiv2: 147000,170000,167000,
or_neg: 336000,255000,287000,
and_pos: 166000,176000,258000,242000,267000,
implies: 320000,
not_and: 272000,
not_not: 182000,227000,
parsing: 11202000,
evaluate: 270000,
subproof: 1992000,5988000,
and_intro: 334000,
equiv_pos2: 64000,308000,
reordering: 458000,892000,
resolution: 277000,229000,703000,642000,316000,314000,347000,367000,2805000,267000,223000,263000,227000,319000,589000,518000,1108000,238000,236000,335000,285000,
contraction: 510000,253000,300000,576000,567000,
forall_inst: 1253000,1197000,1232000,
implies_neg1: 236000,450000,
implies_neg2: 196000,418000,
__local_input: 31000,69000,33000,890000,37000,
equiv_simplify: 407000,329000,311000,288000,
implies_simplify: 385000,
__normalized_input: 7441000,870000,993000,
rare_rewrite_bool-double-not-elim: 200000,

