1; Draft.Scratch_smt_check_7_18685; 2026-04-10 13:51:33.876;
and: 194000,
bind: 317000,347000,321000,
cong: 208000,139000,
refl: 95000,71000,
symm: 207000,
trans: 265000,326000,262000,265000,
equiv1: 242000,
parsing: 2004000,
aci_simp: 1169000,1231000,
equiv_pos2: 37000,127000,168000,107000,
reordering: 464000,
resolution: 261000,286000,360000,365000,321000,406000,
forall_inst: 943000,
connective_def: 296000,
miniscope_split: 396000,
__normalized_input: 5887000,4259000,685000,699000,
rare_rewrite_bool-eq-false: 7088000,
rare_rewrite_bool-impl-elim: 7421000,

