1; Draft.Scratch_smt_check_7_25848; 2026-04-10 13:42:38.091;
bind: 282000,381000,306000,379000,301000,
cong: 215000,246000,229000,248000,97000,
refl: 162000,116000,114000,119000,
symm: 102000,
trans: 250000,257000,260000,249000,233000,319000,268000,292000,126000,
equiv1: 224000,
or_pos: 385000,
parsing: 6027000,
aci_simp: 1837000,1780000,
not_symm: 87000,
equiv_pos2: 53000,191000,291000,
reordering: 521000,
resolution: 296000,241000,348000,306000,360000,467000,
forall_inst: 1379000,
miniscope_split: 538000,
__normalized_input: 1085000,759000,836000,816000,
rare_rewrite_eq-symm: 119000,
rare_rewrite_bool-eq-false: 11333000,
rare_rewrite_bool-impl-elim: 11616000,
rare_rewrite_bool-impl-false1: 11484000,11905000,12171000,
rare_rewrite_bool-and-de-morgan: 12153000,
rare_rewrite_bool-double-not-elim: 143000,

