1; Draft.Scratch_smt_check_7_10414; 2026-04-10 13:42:53.877;
and: 51000,49000,57000,66000,
bind: 484000,897000,382000,366000,365000,374000,
cong: 288000,188000,174000,193000,440000,452000,182000,226000,
refl: 49000,83000,31000,44000,220000,
trans: 407000,370000,361000,284000,277000,253000,255000,476000,347000,340000,
equiv1: 315000,
or_pos: 777000,
and_pos: 226000,
parsing: 50222000,
aci_simp: 1456000,1099000,1815000,2562000,1948000,
equiv_pos2: 726000,248000,
reordering: 291000,1380000,
resolution: 376000,548000,364000,280000,402000,347000,
forall_inst: 1762000,
__normalized_input: 2164000,1182000,822000,735000,875000,
rare_rewrite_bool-impl-elim: 12288000,11738000,19901000,
rare_rewrite_bool-and-de-morgan: 19770000,11444000,11686000,12046000,

