1; Draft.Scratch_smt_check_7_23493; 2026-04-10 13:47:30.343;
bind: 284000,261000,532000,499000,
cong: 126000,144000,95000,65000,220000,226000,186000,85000,468000,250000,269000,287000,303000,
refl: 39000,30000,71000,52000,85000,55000,
trans: 296000,124000,469000,261000,
or_neg: 294000,283000,339000,
or_pos: 507000,
and_pos: 376000,
implies: 252000,282000,212000,
parsing: 18887000,
aci_simp: 1741000,
not_symm: 130000,
subproof: 3582000,2004000,1863000,
equiv_pos2: 196000,351000,646000,333000,86000,266000,
reordering: 676000,458000,390000,
resolution: 138000,163000,153000,219000,247000,303000,347000,420000,618000,446000,472000,253000,396000,525000,512000,354000,585000,660000,417000,423000,322000,
contraction: 388000,479000,553000,329000,
forall_inst: 1617000,1400000,1256000,
implies_neg1: 655000,364000,251000,
implies_neg2: 385000,355000,236000,
__local_input: 180000,105000,62000,
__normalized_input: 2667000,2490000,1305000,989000,
rare_rewrite_eq-symm: 114000,89000,239000,151000,251000,
rare_rewrite_bool-impl-elim: 6203000,11982000,
rare_rewrite_bool-double-not-elim: 173000,

