1; Draft.Scratch_smt_check_7_989; 2026-04-10 13:47:30.181;
bind: 456000,433000,
cong: 180000,177000,
refl: 95000,85000,
trans: 278000,466000,
or_pos: 346000,
implies: 301000,
parsing: 2544000,
subproof: 2245000,
equiv_pos2: 319000,300000,
reordering: 379000,
resolution: 440000,493000,396000,566000,539000,346000,490000,
contraction: 503000,
forall_inst: 1418000,
implies_neg1: 453000,
implies_neg2: 366000,
__local_input: 183000,
__normalized_input: 3423000,2161000,2473000,
rare_rewrite_bool-impl-elim: 12048000,11964000,
rare_rewrite_bool-double-not-elim: 230000,214000,

