1; Draft.Scratch_smt_check_7_26292; 2026-04-10 13:51:30.933;
and: 231000,191000,
bind: 371000,504000,433000,
cong: 210000,290000,481000,868000,109000,454000,1028000,118000,123000,119000,106000,45000,106000,44000,95000,47000,107000,92000,57000,464000,751000,216000,242000,237000,190000,318000,274000,284000,1476000,
refl: 95000,75000,58000,37000,22000,44000,25000,28000,100000,
symm: 155000,
trans: 461000,529000,983000,981000,880000,956000,497000,445000,457000,447000,458000,883000,792000,737000,
or_neg: 479000,510000,479000,456000,444000,453000,460000,
implies: 570000,
not_and: 512000,
parsing: 12557000,
aci_simp: 1862000,1755000,1692000,1940000,1894000,
subproof: 2369000,
equiv_pos2: 117000,86000,259000,1284000,1241000,
reordering: 880000,718000,
resolution: 292000,401000,269000,287000,433000,1437000,4820000,658000,841000,748000,577000,
contraction: 1899000,758000,
forall_inst: 1723000,
implies_neg1: 768000,
implies_neg2: 669000,
__local_input: 304000,
qnt_rm_unused: 324000,
connective_def: 560000,
__normalized_input: 27834000,18404000,9630000,7240000,7262000,7053000,7746000,8850000,14783000,15796000,
miniscope_distribute: 576000,
rare_rewrite_eq-symm: 265000,248000,273000,
rare_rewrite_bool-or-de-morgan: 6800000,
rare_rewrite_bool-double-not-elim: 435000,574000,

