1; Draft.Scratch_smt_check_7_6032; 2026-04-10 13:51:30.422;
bind: 981000,987000,
cong: 349000,283000,271000,364000,291000,287000,
refl: 69000,324000,71000,337000,
trans: 929000,701000,736000,641000,612000,696000,860000,716000,821000,618000,630000,660000,
or_pos: 844000,
implies: 869000,
parsing: 6539000,
aci_simp: 2592000,2217000,2612000,2320000,
subproof: 4062000,
equiv_pos2: 645000,612000,
reordering: 1198000,
resolution: 733000,761000,856000,1146000,1252000,793000,784000,
contraction: 1290000,
forall_inst: 1993000,
implies_neg1: 1161000,
implies_neg2: 1155000,
__local_input: 498000,
__normalized_input: 3226000,1122000,1107000,1057000,1318000,
rare_rewrite_bool-impl-elim: 13453000,12977000,
rare_rewrite_bool-and-de-morgan: 13152000,14697000,12284000,12547000,
rare_rewrite_bool-double-not-elim: 349000,358000,

