1; Draft.Scratch_smt_check_7_14168; 2026-04-10 13:49:20.353;
bind: 448000,414000,440000,425000,334000,
cong: 92000,159000,92000,144000,63000,59000,164000,87000,151000,66000,62000,284000,184000,153000,143000,149000,
refl: 26000,61000,53000,56000,56000,
symm: 126000,
false: 13000,
trans: 165000,367000,282000,306000,177000,364000,274000,294000,167000,
choice: 75000,
equiv2: 145000,135000,
or_neg: 216000,207000,223000,189000,
or_pos: 298000,
implies: 328000,
not_not: 158000,
parsing: 12494000,
aci_simp: 1229000,1419000,
evaluate: 279000,
subproof: 1903000,
equiv_pos2: 250000,270000,373000,144000,154000,133000,38000,
reordering: 262000,402000,
resolution: 150000,205000,207000,320000,326000,401000,410000,502000,522000,355000,387000,239000,204000,346000,393000,316000,363000,194000,246000,
sko_forall: 1338000,
contraction: 493000,330000,
forall_inst: 1020000,
implies_neg1: 453000,
implies_neg2: 441000,
__local_input: 179000,
equiv_simplify: 219000,216000,
__normalized_input: 4296000,3439000,3740000,
rare_rewrite_eq-symm: 136000,136000,209000,131000,
rare_rewrite_bool-impl-elim: 6816000,6766000,6586000,
rare_rewrite_bool-and-de-morgan: 7046000,6074000,
rare_rewrite_bool-double-not-elim: 162000,151000,141000,

