1; Draft.Scratch_smt_check_7_17411; 2026-04-10 13:49:20.005;
bind: 407000,413000,639000,426000,
cong: 161000,175000,140000,152000,171000,54000,98000,69000,158000,169000,136000,157000,172000,51000,58000,306000,317000,133000,
refl: 31000,31000,36000,42000,
symm: 110000,
trans: 312000,214000,233000,190000,210000,214000,207000,120000,327000,205000,230000,192000,201000,229000,199000,
equiv1: 99000,
equiv2: 125000,
or_pos: 294000,
implies: 266000,
not_not: 135000,
parsing: 9824000,
aci_simp: 1204000,1031000,1123000,1282000,1048000,1069000,
not_symm: 108000,
subproof: 2237000,
equiv_pos2: 288000,259000,687000,
reordering: 391000,
resolution: 330000,368000,340000,177000,206000,247000,378000,461000,521000,326000,355000,
contraction: 429000,
forall_inst: 885000,
implies_neg1: 399000,
implies_neg2: 331000,
__local_input: 133000,
equiv_simplify: 203000,175000,
__normalized_input: 1902000,1078000,1114000,1039000,1258000,
rare_rewrite_eq-symm: 93000,160000,93000,158000,98000,89000,92000,149000,195000,280000,
rare_rewrite_bool-impl-elim: 7282000,6457000,
rare_rewrite_bool-and-de-morgan: 6372000,6632000,6100000,6594000,
rare_rewrite_bool-double-not-elim: 99000,106000,98000,124000,

