1; Draft.Scratch_smt_check_7_32431; 2026-04-10 13:48:26.444;
bind: 355000,352000,
cong: 154000,121000,133000,100000,164000,
trans: 313000,234000,226000,201000,182000,
or_pos: 538000,
and_pos: 151000,
parsing: 4642000,
aci_simp: 1237000,
not_symm: 98000,
equiv_pos2: 445000,
reordering: 263000,668000,
resolution: 193000,212000,257000,351000,
forall_inst: 1592000,
__normalized_input: 9441000,4115000,2816000,
rare_rewrite_eq-symm: 102000,120000,
rare_rewrite_bool-impl-false1: 24192000,12313000,
rare_rewrite_bool-and-de-morgan: 7376000,
rare_rewrite_bool-double-not-elim: 196000,

