0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = false, expect =
0.sledgehammer initialize  "", fact_filter = SOME "mepo", fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_provers = [], preplay_timeout = 1.000, provers =
0.sledgehammer initialize  ["cvc5_proof"], slices = 96, smt_proofs = true, spy = false, strict =
0.sledgehammer initialize  false, timeout = 30.000, try0 = true, type_enc = NONE, uncurried_aliases =
0.sledgehammer initialize  NONE, verbose = false}
0.sledgehammer goal.by         8478ms Simplex.Abstract_Linear_Poly 36:1337  some (SH 8478ms, ATP 1009ms): Try this: by simp (1 ms)
0.sledgehammer goal.proof     12751ms Simplex.Abstract_Linear_Poly 40:1444  timeout (SH 12751ms): Timed out
0.sledgehammer goal.by        12812ms Simplex.Abstract_Linear_Poly 42:1544  some (SH 12812ms, ATP 2439ms): Try this: by force (1 ms)
0.sledgehammer goal.using     11814ms Simplex.Abstract_Linear_Poly 45:1603  timeout (SH 11814ms): Timed out
0.sledgehammer goal.by        11962ms Simplex.Abstract_Linear_Poly 46:1615  timeout (SH 11962ms): Timed out
0.sledgehammer goal.proof     11385ms Simplex.Abstract_Linear_Poly 51:1735  timeout (SH 11385ms): Timed out
0.sledgehammer goal.by         4029ms Simplex.Abstract_Linear_Poly 53:1793  some (SH 4029ms, ATP 371ms): Try this: by force (5 ms)
0.sledgehammer goal.using     11646ms Simplex.Abstract_Linear_Poly 56:1842  timeout (SH 11646ms): Timed out
0.sledgehammer goal.by        11617ms Simplex.Abstract_Linear_Poly 57:1854  timeout (SH 11617ms): Timed out
0.sledgehammer goal.by         6757ms Simplex.Abstract_Linear_Poly 64:2025  some (SH 6757ms, ATP 500ms): Try this: using inv_fun_zero by blast (0.3 ms)
0.sledgehammer goal.by         2298ms Simplex.Abstract_Linear_Poly 86:2985  some (SH 2297ms, ATP 432ms): Try this: using inv_fun_zero by blast (0.3 ms)
