1; Draft.Scratch_smt_check_7_1472; 2026-04-10 13:50:28.978;
bind: 181000,12604000,
cong: 64000,65000,71000,103000,46000,45000,70000,64000,
refl: 38000,
symm: 90000,89000,
trans: 141000,179000,193000,
equiv1: 145000,
equiv2: 143000,
implies: 166000,
not_not: 144000,
parsing: 2083000,
subproof: 1125000,
equiv_pos2: 116000,60000,83000,185000,
resolution: 174000,226000,191000,186000,235000,221000,299000,273000,276000,184000,365000,
contraction: 244000,
forall_inst: 1297000,
implies_neg1: 384000,
implies_neg2: 194000,
__local_input: 260000,
equiv_simplify: 231000,229000,
__normalized_input: 10177000,2082000,1251000,1186000,1127000,
rare_rewrite_eq-symm: 122000,174000,174000,236000,

