1; Draft.Scratch_smt_check_7_4595; 2026-04-10 13:44:35.460;
bind: 216000,
cong: 107000,138000,96000,325000,
refl: 41000,
symm: 164000,150000,
false: 20000,
trans: 150000,181000,
equiv2: 147000,237000,
or_neg: 327000,363000,356000,
not_not: 169000,
parsing: 1816000,
evaluate: 325000,
equiv_pos1: 101000,
equiv_pos2: 178000,359000,71000,
reordering: 465000,
resolution: 182000,292000,230000,299000,322000,291000,340000,753000,749000,322000,
contraction: 3871000,
forall_inst: 1339000,
equiv_simplify: 270000,324000,
__normalized_input: 1259000,1172000,937000,1035000,
rare_rewrite_eq-symm: 165000,124000,
rare_rewrite_bool-double-not-elim: 188000,

