0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = false, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_provers = [], preplay_timeout = 1.000, provers =
0.sledgehammer initialize  ["cvc5_proof"], slices = 96, smt_proofs = true, spy = false, strict =
0.sledgehammer initialize  false, timeout = 30.000, try0 = true, type_enc = NONE, uncurried_aliases =
0.sledgehammer initialize  NONE, verbose = false}
0.sledgehammer goal.by         7282ms Ordered_Resolution_Prover.Lazy_List_Chain 33:1087  some (SH 7282ms, ATP 515ms): Try this: using chain.cases apply blast (47 ms)
0.sledgehammer goal.proof     35331ms Ordered_Resolution_Prover.Lazy_List_Chain 41:1268  timeout (SH 35331ms): Timed out
0.sledgehammer goal.using     35109ms Ordered_Resolution_Prover.Lazy_List_Chain 44:1331  timeout (SH 35109ms): Timed out
0.sledgehammer goal.proof     34734ms Ordered_Resolution_Prover.Lazy_List_Chain 45:1348  timeout (SH 34734ms): Timed out
0.sledgehammer goal.proof     71829ms Ordered_Resolution_Prover.Lazy_List_Chain 49:1512  some (SH 71829ms, ATP 934ms): Try this: by (smt (cvc5) chain.simps ih lappend_code(1,2) lhd_lappend llast_LCons llist.disc(1) llist.expand ltl_simps(2) mid r_xxs r_ys)
0.sledgehammer goal.using     13031ms Ordered_Resolution_Prover.Lazy_List_Chain 52:1586  some (SH 13031ms, ATP 621ms): Try this: using chain_cons mid r_ys by fastforce (44 ms)
0.sledgehammer goal.by         8977ms Ordered_Resolution_Prover.Lazy_List_Chain 52:1601  some (SH 8977ms, ATP 596ms): Try this: by (simp add: chain_cons) (7 ms)
0.sledgehammer goal.by         9214ms Ordered_Resolution_Prover.Lazy_List_Chain 56:1700  some (SH 9214ms, ATP 626ms): Try this: using chain.cases r_xxs xs_nnil by blast (34 ms)
0.sledgehammer goal.by         8089ms Ordered_Resolution_Prover.Lazy_List_Chain 58:1799  some (SH 8089ms, ATP 505ms): Try this: by (metis chain_not_lnull llast_LCons mid r_xs) (38 ms)
0.sledgehammer goal.by        21563ms Ordered_Resolution_Prover.Lazy_List_Chain 60:1898  some (SH 21563ms, ATP 730ms): Try this: using chain.cases r_xxs xs_nnil by fastforce (176 ms)
