1; Draft.Scratch_smt_check_7_31012; 2026-04-10 13:49:39.185;
bind: 163000,165000,
cong: 149000,68000,73000,54000,136000,57000,73000,
refl: 31000,23000,
symm: 115000,
trans: 161000,140000,123000,
and_neg: 840000,
and_pos: 260000,283000,261000,253000,264000,260000,275000,
implies: 314000,
parsing: 8551000,
subproof: 1700000,
poly_simp: 2250000,2563000,
equiv_pos2: 49000,85000,49000,158000,
reordering: 626000,1854000,
resolution: 348000,259000,183000,182000,215000,190000,254000,987000,492000,410000,2439000,229000,186000,187000,259000,223000,387000,
contraction: 463000,627000,
forall_inst: 680000,940000,844000,1106000,800000,714000,999000,17243000,
implies_neg1: 953000,
implies_neg2: 384000,
__local_input: 55000,77000,70000,76000,135000,75000,108000,
poly_simp_rel: 1059000,1049000,
__normalized_input: 7253000,6386000,5701000,4620000,2734000,2045000,1224000,1311000,

