1; Draft.Scratch_smt_check_7_10686; 2026-04-10 13:44:10.901;
bind: 228000,220000,229000,231000,229000,
cong: 95000,79000,96000,144000,92000,145000,87000,76000,97000,
refl: 36000,
symm: 134000,254000,
trans: 234000,209000,261000,268000,211000,
equiv1: 217000,
equiv2: 162000,
implies: 215000,
not_not: 200000,
parsing: 14493000,
subproof: 2070000,
equiv_pos2: 182000,162000,139000,157000,
resolution: 243000,349000,253000,292000,227000,324000,236000,393000,406000,402000,254000,358000,
contraction: 464000,
forall_inst: 1309000,1333000,
implies_neg1: 304000,
implies_neg2: 318000,
__local_input: 62000,
equiv_simplify: 291000,375000,
__normalized_input: 2496000,4080000,817000,905000,
rare_rewrite_eq-symm: 169000,185000,353000,170000,
rare_rewrite_bool-eq-false: 11857000,11831000,

