1; Draft.Scratch_smt_check_7_4347; 2026-04-10 13:42:51.671;
cong: 435000,344000,262000,1068000,
refl: 36000,33000,346000,166000,
symm: 249000,
trans: 596000,
equiv1: 963000,
equiv2: 757000,
or_neg: 847000,712000,906000,
and_neg: 671000,
and_pos: 666000,929000,
implies: 988000,
not_not: 467000,
parsing: 4413000,
subproof: 2738000,
equiv_pos2: 1465000,
reordering: 1951000,
resolution: 409000,1234000,1873000,1044000,1335000,1124000,1395000,501000,438000,785000,
contraction: 1779000,1426000,1472000,
implies_neg1: 1472000,
implies_neg2: 1458000,
__local_input: 65000,174000,
equiv_simplify: 939000,1168000,
__normalized_input: 2052000,1190000,1632000,
rare_rewrite_bool-double-not-elim: 802000,

