1; Draft.Scratch_smt_check_7_21732; 2026-04-10 13:47:35.784;
and: 99000,
bind: 119000,135000,134000,321000,306000,213000,204000,183000,131000,149000,157000,182000,237000,216000,188000,204000,189000,208000,194000,197000,184000,191000,203000,199000,183000,203000,239000,190000,501000,518000,219000,373000,378000,328000,196000,188000,200000,140000,298000,
cong: 95000,89000,119000,99000,207000,78000,187000,159000,165000,194000,210000,181000,161000,87000,59000,95000,60000,121000,128000,111000,71000,117000,82000,111000,58000,52000,114000,81000,110000,60000,51000,158000,125000,78000,64000,59000,77000,68000,77000,79000,311000,233000,171000,344000,72000,63000,57000,73000,71000,69000,65000,309000,229000,166000,370000,76000,60000,53000,72000,72000,74000,74000,317000,217000,166000,337000,90000,57000,176000,597000,248000,270000,175000,109000,96000,100000,129000,160000,93000,143000,148000,133000,109000,557000,407000,289000,603000,73000,64000,60000,73000,74000,79000,72000,317000,219000,173000,346000,167000,624000,
refl: 29000,27000,28000,117000,31000,26000,298000,27000,62000,70000,38000,27000,31000,24000,29000,23000,27000,209000,62000,62000,41000,
symm: 158000,167000,59000,236000,111000,251000,
trans: 97000,105000,94000,104000,110000,306000,264000,276000,108000,197000,212000,213000,216000,304000,175000,181000,184000,219000,137000,134000,113000,76000,143000,137000,147000,146000,220000,153000,167000,135000,152000,121000,165000,131000,141000,125000,169000,357000,352000,235000,342000,380000,250000,173000,204000,
choice: 95000,
equiv1: 168000,1145000,
equiv2: 165000,394000,341000,
or_neg: 224000,261000,193000,191000,263000,178000,176000,251000,245000,283000,176000,277000,257000,289000,169000,252000,276000,449000,306000,316000,604000,577000,650000,625000,498000,509000,343000,463000,453000,507000,181000,272000,255000,293000,
or_pos: 172000,210000,204000,278000,250000,270000,260000,740000,522000,568000,524000,259000,374000,
and_neg: 244000,260000,243000,188000,452000,250000,
and_pos: 116000,170000,124000,168000,703000,608000,718000,570000,623000,696000,343000,351000,336000,343000,302000,315000,
implies: 142000,141000,159000,197000,278000,195000,277000,184000,282000,252000,630000,1187000,303000,
not_and: 572000,
not_not: 276000,
parsing: 69704000,
aci_simp: 1303000,1090000,1027000,890000,960000,1049000,992000,2077000,2071000,1238000,
evaluate: 190000,342000,
onepoint: 922000,
qnt_join: 176000,
subproof: 1162000,1286000,1354000,1556000,1306000,1180000,1241000,1207000,1279000,1218000,2616000,2396000,1648000,1439000,
and_intro: 157000,390000,
equiv_pos1: 130000,135000,148000,135000,130000,135000,72000,273000,275000,142000,138000,
equiv_pos2: 77000,81000,80000,134000,256000,234000,192000,155000,126000,130000,191000,132000,118000,130000,378000,340000,132000,124000,124000,374000,338000,131000,125000,150000,374000,337000,9104000,702000,346000,383000,136000,262000,299000,267000,755000,745000,48000,145000,129000,128000,393000,349000,82000,201000,413000,
reordering: 302000,265000,178000,268000,233000,732000,387000,491000,385000,493000,284000,379000,401000,502000,375000,502000,389000,402000,495000,381000,507000,1059000,378000,892000,4102000,888000,783000,1070000,737000,993000,2477000,440000,855000,384000,521000,487000,
resolution: 280000,138000,189000,190000,192000,162000,152000,213000,226000,283000,240000,158000,251000,229000,383000,384000,259000,2031000,341000,390000,333000,369000,267000,318000,213000,329000,383000,251000,146000,274000,250000,261000,260000,347000,377000,253000,270000,316000,204000,245000,233000,218000,208000,240000,190000,296000,235000,219000,362000,445000,430000,239000,241000,469000,611000,327000,297000,275000,396000,168000,205000,241000,223000,230000,223000,241000,188000,305000,258000,224000,407000,455000,440000,238000,236000,471000,625000,291000,286000,390000,175000,164000,208000,241000,223000,242000,212000,258000,188000,301000,246000,239000,384000,462000,448000,247000,263000,475000,665000,429000,505000,604000,453000,492000,506000,607000,516000,364000,1649000,5762000,578000,606000,819000,802000,3488000,274000,317000,532000,600000,472000,341000,496000,317000,347000,248000,416000,326000,617000,441000,394000,410000,401000,477000,351000,527000,411000,424000,650000,816000,764000,456000,453000,874000,1316000,955000,755000,2094000,202000,275000,367000,234000,216000,264000,181000,299000,237000,224000,379000,473000,494000,256000,290000,488000,627000,145000,206000,220000,198000,293000,356000,314000,243000,
sko_forall: 1878000,
contraction: 192000,350000,299000,187000,242000,243000,409000,494000,262000,279000,410000,491000,261000,286000,417000,490000,443000,468000,2236000,986000,1341000,813000,1005000,1624000,997000,412000,523000,
forall_inst: 610000,739000,772000,833000,912000,685000,723000,629000,681000,884000,836000,815000,898000,836000,814000,873000,1132000,967000,923000,1532000,1324000,1628000,1304000,1449000,1389000,1225000,1583000,1478000,1645000,1088000,894000,934000,726000,770000,779000,879000,774000,
implies_neg1: 202000,154000,206000,207000,339000,336000,342000,228000,243000,645000,659000,1200000,339000,818000,
