1; Draft.Scratch_smt_check_7_23125; 2026-04-10 13:50:39.952;
cong: 150000,83000,83000,118000,141000,
symm: 264000,444000,496000,
trans: 458000,365000,
and_neg: 682000,
and_pos: 708000,574000,601000,
implies: 744000,
parsing: 892000,
subproof: 2506000,
reordering: 1013000,1562000,
resolution: 495000,477000,940000,838000,793000,1398000,491000,
contraction: 861000,960000,
forall_inst: 1613000,1611000,
implies_neg1: 964000,
implies_neg2: 785000,
__local_input: 102000,112000,343000,
__normalized_input: 34211000,3306000,3129000,3439000,

