1; Draft.Scratch_smt_check_7_27899; 2026-04-10 13:47:05.386;
bind: 283000,215000,348000,778000,483000,
cong: 102000,123000,157000,152000,200000,167000,416000,730000,234000,235000,470000,
refl: 29000,25000,29000,59000,88000,
trans: 164000,160000,176000,164000,285000,218000,239000,216000,233000,513000,404000,349000,
choice: 118000,
or_neg: 143000,162000,133000,137000,404000,461000,3843000,
or_pos: 916000,
and_neg: 741000,
parsing: 36118000,
aci_simp: 1158000,1040000,5151000,5706000,
poly_simp: 1811000,1872000,
equiv_pos1: 80000,
equiv_pos2: 165000,160000,141000,638000,262000,287000,195000,
reordering: 211000,343000,921000,439000,827000,1100000,
resolution: 190000,173000,253000,278000,389000,202000,298000,187000,196000,197000,278000,157000,280000,360000,379000,337000,415000,626000,722000,
sko_forall: 2496000,
contraction: 211000,4291000,
forall_inst: 806000,766000,1854000,1583000,
poly_simp_rel: 1067000,1076000,
__normalized_input: 20387000,10481000,10525000,6239000,1072000,1428000,
rare_rewrite_eq-symm: 180000,167000,
rare_rewrite_arith-elim-leq: 6222000,6759000,
rare_rewrite_bool-impl-elim: 17978000,34803000,
rare_rewrite_bool-and-de-morgan: 6806000,28350000,37628000,
rare_rewrite_bool-double-not-elim: 96000,283000,

