1; Draft.Scratch_smt_check_7_23076; 2026-04-10 13:48:56.369;
bind: 915000,
cong: 75000,368000,755000,226000,197000,179000,165000,142000,129000,118000,91000,79000,
refl: 34000,23000,21000,28000,29000,29000,
trans: 549000,539000,531000,476000,456000,389000,356000,307000,265000,217000,
and_pos: 360000,
parsing: 8228000,
aci_simp: 1372000,1345000,1269000,1219000,5380000,1119000,1066000,1081000,959000,1002000,
equiv_pos2: 68000,590000,219000,
reordering: 471000,822000,
resolution: 231000,213000,319000,345000,532000,
forall_inst: 1351000,
__normalized_input: 56949000,54045000,494000,618000,
rare_rewrite_eq-symm: 117000,118000,112000,126000,

