1; Draft.Scratch_smt_check_7_11050; 2026-04-10 13:51:09.816;
bind: 594000,592000,558000,563000,329000,
cong: 205000,160000,232000,
refl: 37000,38000,51000,
symm: 287000,128000,144000,
trans: 331000,345000,
equiv1: 164000,
equiv2: 353000,
or_neg: 482000,478000,483000,511000,
or_pos: 460000,428000,449000,467000,475000,492000,450000,611000,238000,227000,
and_neg: 514000,305000,
and_pos: 470000,559000,466000,429000,445000,446000,499000,447000,472000,439000,535000,466000,
implies: 468000,479000,359000,483000,463000,
not_not: 338000,
parsing: 4096000,
subproof: 2301000,2342000,2350000,2291000,
and_intro: 439000,430000,
equiv_pos1: 50000,
equiv_pos2: 299000,311000,320000,205000,91000,308000,163000,259000,
not_equiv1: 307000,
not_equiv2: 141000,
reordering: 266000,10030000,528000,686000,1171000,544000,582000,1294000,646000,649000,1465000,497000,704000,1157000,536000,536000,1144000,354000,255000,
resolution: 231000,199000,172000,386000,225000,321000,432000,568000,581000,869000,670000,780000,1205000,379000,557000,545000,500000,477000,576000,682000,612000,1176000,438000,570000,416000,455000,553000,443000,568000,1194000,2890000,930000,664000,644000,1362000,403000,414000,506000,419000,459000,549000,680000,669000,1280000,410000,423000,565000,217000,268000,223000,279000,446000,
contraction: 716000,698000,741000,721000,1154000,700000,691000,620000,839000,
forall_inst: 883000,1549000,1459000,1460000,1472000,1513000,1516000,1419000,795000,824000,
implies_neg1: 709000,730000,320000,319000,
implies_neg2: 534000,530000,545000,542000,
__local_input: 74000,74000,91000,89000,98000,207000,48000,48000,67000,48000,56000,211000,
equiv_simplify: 493000,247000,
__normalized_input: 6354000,1535000,1254000,501000,684000,
rare_rewrite_eq-symm: 397000,
rare_rewrite_bool-impl-elim: 11726000,11858000,11744000,11663000,6239000,
rare_rewrite_bool-double-not-elim: 182000,

