1; Draft.Scratch_smt_check_7_9264; 2026-04-10 13:50:29.091;
and: 178000,135000,
bind: 587000,540000,620000,617000,649000,569000,575000,339000,171000,222000,231000,204000,316000,286000,
cong: 166000,441000,405000,397000,371000,320000,300000,171000,161000,189000,107000,131000,63000,65000,57000,62000,61000,208000,96000,57000,169000,137000,57000,62000,50000,49000,99000,115000,225000,
refl: 102000,179000,128000,34000,358000,80000,90000,44000,
symm: 502000,193000,232000,
trans: 636000,636000,700000,545000,509000,537000,556000,658000,627000,583000,654000,561000,497000,546000,365000,340000,373000,348000,183000,171000,173000,135000,126000,245000,239000,266000,184000,132000,103000,196000,179000,211000,201000,287000,190000,
equiv1: 103000,104000,
equiv2: 122000,124000,
or_neg: 322000,351000,200000,190000,261000,
or_pos: 216000,318000,
parsing: 31493000,
aci_simp: 2219000,2602000,2288000,2325000,2432000,2040000,1227000,1003000,942000,1060000,
evaluate: 222000,
onepoint: 1083000,
qnt_join: 564000,238000,
equiv_pos1: 52000,
equiv_pos2: 178000,270000,78000,209000,54000,53000,95000,179000,
not_equiv1: 127000,
not_equiv2: 256000,
reordering: 321000,644000,249000,398000,249000,240000,
resolution: 422000,344000,445000,469000,503000,626000,686000,505000,789000,175000,232000,203000,246000,193000,240000,169000,194000,190000,322000,236000,305000,411000,478000,
contraction: 385000,326000,
forall_inst: 863000,1004000,727000,878000,
qnt_rm_unused: 320000,1399000,
equiv_simplify: 193000,178000,199000,171000,
miniscope_split: 774000,1200000,808000,
__normalized_input: 6206000,3071000,3224000,16600000,1040000,1048000,1017000,976000,1347000,
miniscope_distribute: 468000,
rare_rewrite_eq-refl: 105000,
rare_rewrite_eq-symm: 229000,189000,102000,
rare_rewrite_or-not-refl: 6993000,
rare_rewrite_arith-elim-lt: 6990000,6314000,
rare_rewrite_bool-impl-elim: 13047000,6743000,6147000,
rare_rewrite_bool-and-de-morgan: 6595000,6876000,6776000,
rare_rewrite_bool-or-and-distrib: 6832000,
rare_rewrite_bool-double-not-elim: 196000,208000,187000,
rare_rewrite_bool-implies-de-morgan: 5871000,

