1; Draft.Scratch_smt_check_7_20106; 2026-04-10 13:45:31.055;
and: 110000,144000,141000,180000,180000,
bind: 220000,237000,232000,453000,400000,460000,402000,369000,
cong: 126000,67000,129000,64000,76000,123000,135000,122000,206000,249000,101000,196000,87000,117000,257000,213000,191000,195000,330000,195000,98000,
refl: 26000,30000,27000,30000,23000,43000,49000,48000,51000,45000,47000,36000,41000,53000,49000,57000,
symm: 83000,146000,
trans: 208000,213000,197000,205000,219000,184000,197000,315000,367000,399000,393000,357000,383000,321000,357000,409000,331000,192000,
or_pos: 358000,
implies: 329000,
parsing: 9412000,
aci_simp: 994000,1883000,1944000,1949000,1820000,
evaluate: 324000,
subproof: 2859000,
equiv_pos2: 255000,269000,484000,
reordering: 388000,
resolution: 230000,356000,469000,483000,646000,759000,526000,494000,
contraction: 583000,
forall_inst: 1379000,
implies_neg1: 499000,
implies_neg2: 492000,
__local_input: 132000,
connective_def: 476000,507000,
__normalized_input: 1047000,1229000,
rare_rewrite_eq-refl: 160000,
rare_rewrite_eq-symm: 114000,180000,216000,188000,
rare_rewrite_bool-and-de-morgan: 6269000,18012000,11990000,11899000,
rare_rewrite_bool-double-not-elim: 202000,384000,

