1; Draft.Scratch_smt_check_7_8903; 2026-04-10 13:45:30.865;
bind: 378000,352000,623000,
cong: 182000,122000,188000,131000,283000,197000,
refl: 45000,233000,46000,77000,259000,
trans: 281000,229000,242000,173000,187000,228000,274000,270000,518000,444000,441000,305000,327000,
or_pos: 510000,488000,
implies: 469000,
parsing: 24061000,
aci_simp: 1118000,1042000,1916000,2180000,1895000,
not_symm: 163000,
subproof: 3201000,
equiv_pos2: 524000,258000,460000,
reordering: 771000,774000,
resolution: 345000,312000,705000,470000,502000,416000,788000,972000,611000,504000,
contraction: 754000,
forall_inst: 1596000,1714000,
implies_neg1: 773000,
implies_neg2: 676000,
__local_input: 159000,
__normalized_input: 2986000,5570000,1165000,956000,885000,900000,1216000,
rare_rewrite_bool-impl-elim: 22136000,12731000,25496000,
rare_rewrite_bool-and-de-morgan: 6579000,6662000,12136000,18797000,24135000,
rare_rewrite_bool-double-not-elim: 170000,

