1; Draft.Scratch_smt_check_7_5408; 2026-04-10 13:45:29.576;
cong: 199000,178000,140000,99000,229000,
refl: 28000,29000,
trans: 327000,338000,
implies: 305000,
parsing: 7143000,
subproof: 2252000,
equiv_pos2: 246000,100000,225000,
resolution: 262000,422000,380000,576000,583000,339000,458000,
contraction: 453000,
forall_inst: 1352000,
implies_neg1: 400000,
implies_neg2: 364000,
__local_input: 115000,
connective_def: 549000,563000,
__normalized_input: 2903000,1015000,1260000,
rare_rewrite_bool-double-not-elim: 326000,360000,

