1; Draft.Scratch_smt_check_7_23561; 2026-04-10 13:51:01.257;
and: 213000,198000,198000,234000,
bind: 616000,637000,561000,534000,618000,630000,720000,545000,
cong: 286000,144000,85000,276000,131000,69000,93000,65000,90000,58000,108000,62000,226000,382000,190000,209000,66000,265000,127000,60000,75000,57000,84000,402000,147000,83000,318000,130000,70000,89000,84000,88000,62000,74000,53000,85000,239000,284000,188000,214000,69000,203000,182000,406000,291000,124000,80000,
refl: 33000,43000,45000,34000,46000,31000,38000,59000,43000,22000,21000,33000,43000,45000,32000,44000,29000,19000,24000,39000,61000,45000,33000,44000,46000,
symm: 229000,210000,185000,206000,203000,323000,187000,187000,
trans: 543000,568000,518000,467000,477000,423000,418000,527000,381000,297000,242000,548000,567000,211000,505000,502000,482000,658000,609000,475000,397000,511000,263000,244000,
or_pos: 390000,
implies: 478000,
parsing: 12667000,
aci_simp: 1493000,1268000,1353000,1506000,1312000,1392000,1301000,
evaluate: 356000,
subproof: 2381000,
equiv_pos2: 65000,322000,32000,51000,49000,55000,289000,484000,
reordering: 473000,
resolution: 423000,523000,389000,380000,439000,324000,527000,785000,812000,517000,506000,335000,363000,
contraction: 787000,
forall_inst: 1354000,
and_simplify: 629000,
implies_neg1: 695000,
implies_neg2: 768000,
__local_input: 356000,
__normalized_input: 4593000,3683000,3615000,3480000,3520000,3565000,3599000,3592000,
rare_rewrite_eq-refl: 238000,
rare_rewrite_eq-symm: 269000,215000,214000,244000,196000,225000,262000,196000,235000,223000,242000,
rare_rewrite_bool-impl-elim: 7180000,7252000,
rare_rewrite_bool-or-de-morgan: 7682000,8990000,
rare_rewrite_bool-and-de-morgan: 7243000,7053000,6973000,7153000,

