1; Draft.Scratch_smt_check_7_21596; 2026-04-10 13:43:15.981;
cong: 117000,117000,
symm: 116000,
trans: 126000,
and_neg: 488000,
and_pos: 232000,275000,211000,304000,
implies: 274000,
parsing: 1301000,
subproof: 6641000,
reordering: 491000,1034000,
resolution: 386000,274000,297000,816000,468000,429000,1518000,324000,3861000,
contraction: 350000,573000,
forall_inst: 1248000,1201000,1188000,1213000,
implies_neg1: 399000,
implies_neg2: 262000,
__local_input: 26000,28000,20000,29000,
__normalized_input: 843000,659000,681000,810000,

