1; Draft.Scratch_smt_check_7_32457; 2026-04-10 13:48:00.207;
bind: 283000,221000,199000,320000,313000,
cong: 138000,160000,334000,74000,334000,96000,107000,
refl: 42000,
symm: 176000,
false: 36000,
trans: 118000,147000,163000,
equiv2: 226000,218000,
or_pos: 227000,395000,
implies: 357000,317000,
not_not: 235000,
parsing: 11292000,
aci_simp: 1028000,
evaluate: 291000,
subproof: 1945000,2058000,
equiv_pos1: 121000,117000,
equiv_pos2: 181000,302000,416000,153000,212000,228000,456000,103000,56000,
reordering: 286000,489000,449000,520000,
resolution: 104000,148000,142000,162000,188000,225000,280000,194000,277000,268000,288000,458000,528000,493000,314000,233000,319000,305000,330000,313000,345000,441000,553000,503000,307000,392000,341000,356000,
contraction: 508000,578000,
forall_inst: 753000,1278000,1353000,1142000,1298000,
implies_neg1: 423000,406000,
implies_neg2: 392000,470000,
__local_input: 148000,151000,
equiv_simplify: 377000,359000,
__normalized_input: 11725000,7206000,3844000,3320000,2423000,1233000,956000,845000,905000,892000,
rare_rewrite_eq-symm: 247000,165000,221000,241000,350000,
rare_rewrite_bool-impl-elim: 6158000,25806000,
rare_rewrite_bool-and-de-morgan: 5942000,

