1; Draft.Scratch_smt_check_7_1825; 2026-04-10 13:48:04.970;
bind: 377000,326000,363000,313000,298000,
cong: 398000,283000,343000,432000,317000,260000,241000,226000,408000,327000,306000,368000,251000,104000,83000,97000,242000,181000,192000,139000,136000,89000,83000,239000,198000,190000,91000,139000,91000,85000,1213000,1030000,372000,392000,136000,129000,
refl: 43000,91000,38000,291000,206000,45000,45000,31000,57000,58000,262000,50000,208000,
trans: 522000,556000,555000,525000,509000,523000,510000,507000,464000,112000,132000,148000,299000,251000,268000,187000,128000,117000,107000,253000,252000,263000,181000,126000,123000,106000,580000,245000,208000,
equiv1: 781000,
or_pos: 975000,
implies: 441000,
parsing: 19779000,
aci_simp: 1199000,1191000,
evaluate: 567000,
subproof: 1330000,
poly_simp: 3330000,3494000,5709000,1676000,1742000,1786000,2443000,1728000,1665000,2232000,1719000,1855000,3482000,3075000,
equiv_pos2: 427000,197000,237000,451000,1562000,234000,108000,
reordering: 416000,1656000,
resolution: 504000,568000,599000,592000,470000,357000,628000,861000,901000,477000,323000,365000,297000,406000,
contraction: 701000,
forall_inst: 1944000,1241000,
implies_neg1: 1198000,
implies_neg2: 799000,
__local_input: 275000,
poly_simp_rel: 2248000,2428000,965000,974000,954000,946000,970000,978000,2229000,1857000,
equiv_simplify: 982000,
__normalized_input: 9293000,5575000,1346000,885000,1455000,
rare_rewrite_eq-refl: 467000,
rare_rewrite_eq-symm: 243000,
rare_rewrite_ite-not-cond: 10554000,
rare_rewrite_arith-elim-lt: 11630000,6474000,6637000,7381000,5923000,6099000,5610000,5688000,24297000,10800000,
rare_rewrite_bool-impl-elim: 6243000,5997000,
rare_rewrite_bool-and-de-morgan: 6029000,5645000,
rare_rewrite_bool-double-not-elim: 570000,125000,134000,115000,116000,

